Artist,Title,Album
Drive Like Jehu,Bullet Train To Vegas,Hand Over Fist/Bullet Train To Vegas
Drive Like Jehu,Hand Over Fist,Yank Crime
Drive Like Jehu,Here Come The Rome Plows,Yank Crime
Drug Church,Weed Pin,Cheer
Drums,Money,Portamento
Dukes Of Stratosphear,My Love Explodes,Chips From The Chocolate Fireball
Dum Dum Girls,Coming Down,Only In Dreams
Dum Dum Girls,It Only Takes One Night,I Will Be
Dwarves,Everybodies Girl,Are Young And Good Looking
Eater,Outside View,The Compleat Eater
Echo & The Bunnymen,Do It Clean,Crocodiles
Eisley,Real World,Currents
Elastica,Stutter,Elastica
Elastica,Waking Up,Elastica
Elton Motello,Jet Boy Jet Girl,Jet Boy
"Eno, Brian",Baby's On Fire,Here Come The Warm Jets
"Eno, Brian",Needles In The Camel's Eye,Here Come The Warm Jets
Enon,Conjugate The Verbs,Believo!
Enon,Disposable Parts,High Society
Erasure,Victim Of Love,The Circus
"Erickson, Roky",You Don't Love Me Yet,All That May Do My Rhyme
ESG,You're No Good,ESG EP
Evens,All These Governors,The Evens
Ex Hex,Don't Wanna Lose,Rips
Excuse 17,Sevenwhateverteen,Periscope: Another Yoyo Compilation
Excuse 17,The Drop Dead Look,Such Friends Are Dangerous
Excuse 17,Watchmaker,Such Friends Are Dangerous
Face To Face,Blind,Face To Face
Face To Face,Disconnected,Don't Turn Away
Failure,Stuck On You,Fantastic Planet
Faint,Agenda Suicide,Danse Macabre
Faint,Worked Up So Sexual,Blank-Wave Arcade
Fall,Totally Wired,Palace Of Swords Reversed
Fall,Victoria (by The Kinks),The Frenz Experiment
Fastbacks,Gone To The Moon,Zcker
FIDLAR,No Waves,FIDLAR
Fiery Furnaces,Single Again,EP
Fiery Furnaces,Tropical Ice-land,EP
Flamin' Groovies,Shake Some Action,Shake Some Action
Fleet Foxes,Mykonos,Sun Giant
Fleet Foxes,White Winter Hymnal,Fleet Foxes
Folk Implosion,Insinuation,Dare To Be Surprised
Fontaines D.C.,Jackie Down The Line,Skinty Fia
Foreign Mothers,Possessive / Plural,DUH
Fountains Of Wayne,Sink To The Bottom,Fountains Of Wayne
Foxygen,San Francisco,We Are The 21st Century Ambassadors Of Peace & Magic
Frankie Cosmos,Young,Fit Me In
Franz Ferdinand,Take Me Out,Franz Ferdinand
Freezepop,Plastic Stars,Freezepop Forever
Frightened Rabbit,Head Rolls Off,The Midnight Organ Fight
Frights,You Are Going To Hate This,You Are Going To Hate This
Front Bottoms,Lone Star,Talon Of The Hawk
Front Bottoms,Twin Size Mattress,Talon Of The Hawk
"Frost, Edith",Cars And Parties,Wonder Wonder
"Frost, Edith",You Belong To No One,Telescopic
Frumpies,I Just Wanna Puke On The Stereo,Frumpie One Piece
Fucked Up,Queen Of Hearts,David Comes To Life
Fucked Up,Son The Father,The Chemistry Of Common Life
Fugazi,Bed For The Scraping,Red Medicine
